STATUS,ACTION,COINBASE_PRODUCT_ID,QUANTITY,PURCHASE_PRICE,STOP_LOSS_PERCENT,PROFIT_PERCENT
OPEN,SELL,POWR-USDC,246.4,0.4035,0.93,1.1
OPEN,SELL,AVT-USDC,56.18,1.77,0.94,1.1
TRIGGERED,SELL,ELA-USDC,24.7,4.049,0.94,1.1
OPEN,SELL,SWFTC-USDC,50482.0,0.001981,0.94,1.1
OPEN,SELL,STX-USDC,55.77,1.7832,0.95,1.1
OPEN,SELL,MATH-USDC,480.2,0.2077,0.93,1.1
OPEN,SELL,ACS-USDC,40321.0,0.002466,0.93,1.1
TRIGGERED,SELL,DYP-USDC,293.7,0.3385,0.93,1.1
OPEN,SELL,AVT-USDC,57.15,1.75,0.93,1.1
OPEN,SELL,MNDE-USDC,371.6,0.2677,0.93,1.1
OPEN,SELL,ELA-USDC,25.5,3.9,0.93,1.1
OPEN,SELL,PNG-USDC,1161.0,0.086,0.93,1.1
TRIGGERED,SELL,RNDR-USDC,25.23,3.9511,1.021574877882109,1.1
